block,iucr,primary_type,arrest,domestic,beat,district,ward,community_area,fbi_code,x_coordinate,y_coordinate,year,latitude,longitude
050XX N CICERO AVE,502P,OTHER OFFENSE,True,False,1712,17.0,39.0,14.0,26,1143448.0,1932896.0,2003,41.97190498,-87.7479019
009XX W MARQUETTE RD,1310,CRIMINAL DAMAGE,False,False,723,7.0,17.0,68.0,14,1171033.0,1860403.0,2010,41.772416841,-87.648594355
033XX S MORGAN ST,0910,MOTOR VEHICLE THEFT,False,False,924,9.0,11.0,60.0,07,1170193.0,1882589.0,2009,41.833315933,-87.65102795700001
005XX N STATE ST,0470,PUBLIC PEACE VIOLATION,True,False,1831,18.0,42.0,8.0,24,1176272.0,1904046.0,2006,41.892060695,-87.628076329
027XX E 95TH ST,1310,CRIMINAL DAMAGE,False,False,431,4.0,10.0,51.0,14,1196038.0,1842493.0,2004,41.722687545999996,-87.557526595
001XX W 127TH ST,1811,NARCOTICS,True,False,523,5.0,9.0,53.0,18,1177579.0,1820730.0,2002,41.663403306,-87.625793875
075XX S RHODES AVE,0530,ASSAULT,True,False,624,6.0,6.0,69.0,04A,1181211.0,1855124.0,2009,41.757702295,-87.61144740200001
074XX S DREXEL AVE,0486,BATTERY,False,True,323,3.0,8.0,69.0,08B,1183521.0,1855830.0,2008,41.759586127,-87.602959664
035XX S STATE ST,0880,THEFT,False,False,211,2.0,3.0,35.0,06,1176847.0,1881672.0,2010,41.830651986,-87.62664099
049XX W BARRY AVE,0486,BATTERY,True,True,2521,25.0,31.0,19.0,08B,1142901.0,1920157.0,2012,41.936958286999996,-87.75023205
038XX S WALLACE ST,0460,BATTERY,False,False,925,9.0,11.0,60.0,08B,1172925.0,1879540.0,2005,41.82488922,-87.64109391299999
069XX S MICHIGAN AVE,0460,BATTERY,False,False,322,3.0,6.0,69.0,08B,1178361.0,1859070.0,2007,41.768595704,-87.621772588
132XX S FORRESTVILLE AVE,0486,BATTERY,False,True,533,5.0,9.0,54.0,08B,1182323.0,1817564.0,2002,41.654607138,-87.608530679
025XX W POTOMAC AVE,1320,CRIMINAL DAMAGE,True,False,1423,14.0,26.0,24.0,14,1159324.0,1908561.0,2004,41.904815627,-87.690194549
001XX S STATE ST,1150,DECEPTIVE PRACTICE,False,False,112,1.0,42.0,32.0,11,1176405.0,1899613.0,2016,41.879893300999996,-87.62772175100001
033XX N HARLEM AVE,1310,CRIMINAL DAMAGE,False,False,1632,16.0,36.0,17.0,14,1127493.0,1921321.0,2006,41.940426063000004,-87.80683346
057XX S CALUMET AVE,0820,THEFT,False,False,232,2.0,20.0,40.0,06,1179460.0,1867131.0,2015,41.79069087,-87.617498271
