class,ip,ea,vis,bp,fp,li,mg,al,pf6,lio2,o2m,o2,na,ni2,ni3,mn2,mn3,mn4,co,PYR14,FSI,TFSI,co2,h2o
class-00000001,-9.96,-0.11,2.08,566.7,385.96,13.83,100.53,83.15,3.91,8.28,15.2,-2.07,7.52,28.74,90.6,28.74,90.62,189.5,90.62,-3.34,1.44,1.68,-1.9,-1.38
class-00000001,-10.43,-0.85,0.34,352.58,238.94,25.47,140.72,110.83,4.83,13.85,16.84,-1.87,17.57,51.85,130.17,51.85,130.19,245.6,130.2,-1.91,2.29,2.32,-1.63,0.88
class-00000001,-10.06,-0.1,0.87,507.68,341.13,13.16,99.06,82.38,1.91,6.8,13.01,-1.86,6.69,27.27,89.02,27.27,89.05,188,89.05,-2.76,-0.47,-0.15,-1.92,-1.74
class-00000001,-11.49,0.28,7.28,559.6,390.68,13.84,100.26,82.94,3.53,8.24,14.71,-1.79,7.6,28.79,90.37,28.8,90.39,189.1,90.39,-3.55,1.24,1.5,-1.73,-1.45
class-00000001,-11.31,0.27,63.38,629.74,440.07,9.31,80.05,68.48,0.89,3.93,4.65,-1.01,4.58,19.64,70.92,19.64,70.94,158.94,70.94,-0.46,-0.62,-0.29,-1,-3.24
class-00000001,-11.39,0.48,1.15,455.25,314.37,11.53,93.33,78.48,4.03,7.49,15.55,-1.86,5.44,24.09,83.36,24.09,83.38,180.29,83.39,-3.85,1.59,1.86,-1.73,-1.87
class-00000001,-11.65,-1.09,0.63,406.95,278.31,23.74,135.6,107.48,4.33,12.64,15.26,-1.61,15.98,48.46,125.02,48.46,125.04,239.09,125.04,-2.47,2.07,2.07,-1.5,0.66
class-00000001,-10.43,0.43,3.34,554.75,386.39,12.28,94.07,78.64,4.88,8.41,16.3,-2.04,6.58,25.69,84.32,25.7,84.34,180.35,84.34,-3.41,2.41,2.67,-1.72,-1.67
class-00000001,-9.1,2.7,0.64,391.29,270,5.14,70.12,62.35,5.23,6.02,17.85,-2.1,-0.03,11.29,60.64,11.29,60.66,147.25,60.66,-5.16,2.62,2.88,-1.85,-4.03
class-00000001,-11.53,-1.15,0.59,385.59,264.01,24,136.93,108.46,4,12.41,14.34,-1.47,16.07,48.94,126.28,48.94,126.3,241.09,126.3,-2.71,1.84,1.76,-1.45,0.61
class-00000001,-10.6,0.42,1.44,492.75,339.77,10.98,91.5,77.23,3.92,7.11,15.22,-1.88,4.94,23,81.56,23,81.58,177.75,81.58,-3.86,1.5,1.8,-1.74,-2.06
class-00000001,-10.42,0.45,2.58,534.49,371.55,11.68,92.55,77.7,4.65,7.96,16.01,-2,5.9,24.47,82.76,24.47,82.78,178.51,82.78,-3.59,2.19,2.46,-1.73,-1.85
class-00000001,-9.51,0.36,0.47,335.48,226.46,26.48,144.33,113.29,4.26,13.63,14.89,-1.76,18.3,53.81,133.74,53.81,133.76,250.44,133.76,-1.77,1.82,1.91,-1.67,0.89
class-00000001,-10.32,1.14,1,408.66,279.65,16.36,110.68,90.49,1.75,8.26,13.09,-1.5,9.33,33.61,100.4,33.61,100.42,204.54,100.42,-2.66,-0.51,-0.09,-1.68,-1.33
class-00000001,-10.07,-0.12,1.09,541.55,356.25,13.25,98.78,82.03,1.26,6.61,12.71,-1.87,6.78,27.42,88.85,27.42,88.87,187.02,88.87,-2.46,-1.13,-0.8,-1.97,-1.73
class-00000001,-10.05,-1.61,4.09,595.66,401.27,16.33,104.74,84.71,0.52,6.58,5.65,-0.89,9.79,33.6,95.54,33.6,95.56,190.65,95.56,-1.48,-0.7,-0.57,-1.3,-1.29
