class,id,ip,ea,vis,bp,fp,li,mg,al,pf6,lio2,o2m,o2,na,ni2,ni3,mn2,mn3,mn4,co,PYR14,FSI,TFSI,co2,h2o
class-00000001,00000001_00025000_10698,-9.58,0.15,3.87,593.05,400.51,12.25,92.91,77.58,2.92,7.1,13.26,-1.82,6.55,25.55,83.34,25.55,83.36,177.73,83.36,-2.88,0.62,0.95,-1.85,-1.85
class-00000001,00000001_00025000_10700,-10.26,-0.62,5.93,596.31,403.47,12.63,93.72,77.84,1.51,6.6,11.9,-1.63,6.71,26.29,84.29,26.29,84.31,177.82,84.31,-2.3,-0.67,-0.21,-1.81,-2.18
class-00000001,00000001_00025000_10704,-9.77,-0.34,4.48,567.08,382.77,11.77,87.29,72.96,3.66,7.79,14.4,-2.05,6.85,24.6,78.31,24.6,78.33,167.44,78.33,-2.35,1.2,1.48,-1.97,-2.04
class-00000001,00000001_00025000_10705,-9.61,-0.57,4.57,591.85,397.18,11.76,86.39,72.2,3.66,7.88,14.29,-2.02,7.01,24.59,77.52,24.59,77.54,165.73,77.54,-2.29,1.2,1.5,-1.95,-2.27
class-00000001,00000001_00025000_10706,-10.25,-1.38,7.3,668.33,445.09,12.68,95.78,79.67,1.55,6.47,11.92,-1.54,6.51,26.4,86.06,26.41,86.08,182.08,86.08,-2.4,-0.66,-0.15,-1.75,-1.88
class-00000001,00000001_00025000_10707,-10.83,-0.73,5.73,572.38,389.91,11.14,89.11,74.78,3.72,7.59,15.44,-2.25,5.34,23.37,79.69,23.37,79.71,171.84,79.71,-3.86,1.18,1.46,-2.07,-2.9
class-00000001,00000001_00025000_10716,-9.28,-0.18,5.01,618.56,417.97,12.04,91.58,76.53,3.93,7.9,15.26,-1.99,6.54,25.2,82.11,25.2,82.13,175.53,82.13,-3.12,1.46,1.75,-1.88,-1.81
class-00000001,00000001_00025000_10727,-10.85,-0.77,12.43,630.27,431.06,11.7,90.85,75.94,4.47,8.32,16.44,-2.33,5.98,24.57,81.42,24.57,81.44,174.26,81.44,-3.86,1.89,2.16,-2.05,-2.68
class-00000001,00000001_00025000_10795,-10.21,0.58,9.08,550.94,393.11,13.21,95.76,79.44,3.82,8.28,15.28,-2.23,7.5,27.6,86.21,27.6,86.24,181.64,86.24,-3.11,1.36,1.65,-2.03,-1.69
class-00000001,00000001_00025000_10797,-5.88,0.41,832.47,950.06,626.33,-7.69,21.06,27.75,1.33,-1.41,11.36,-1.97,-10.12,-14.07,12.91,-14.07,12.93,76.34,12.93,-3.45,-0.86,-0.39,-1.88,-7.68
class-00000001,00000001_00025000_10798,-10.96,0.08,62.75,802.95,533.51,5.12,67.23,59.87,-0.06,2.49,8.72,-1.51,0.58,11.36,58.13,11.36,58.15,141.8,58.15,-1.16,-2.14,-1.6,-1.59,-3.97
class-00000001,00000001_00025000_10799,-10,-0.16,11.93,685.41,463.72,6.49,73.06,64.01,1.72,4.53,13.17,-1.56,1.57,14.13,63.76,14.13,63.78,150.41,63.78,-3.63,-0.33,0.04,-1.74,-3.42
class-00000001,00000001_00025000_10700,-10.26,-0.62,5.93,596.31,403.47,12.63,93.72,77.84,1.51,6.6,11.9,-1.63,6.71,26.29,84.29,26.29,84.31,177.82,84.31,-2.3,-0.67,-0.21,-1.81,-2.18
class-00000001,00000001_00025000_10704,-9.77,-0.34,4.48,567.08,382.77,11.77,87.29,72.96,3.66,7.79,14.4,-2.05,6.85,24.6,78.31,24.6,78.33,167.44,78.33,-2.35,1.2,1.48,-1.97,-2.04
class-00000001,00000001_00025000_10705,-9.61,-0.57,4.57,591.85,397.18,11.76,86.39,72.2,3.66,7.88,14.29,-2.02,7.01,24.59,77.52,24.59,77.54,165.73,77.54,-2.29,1.2,1.5,-1.95,-2.27
class-00000001,00000001_00025000_10706,-10.25,-1.38,7.3,668.33,445.09,12.68,95.78,79.67,1.55,6.47,11.92,-1.54,6.51,26.4,86.06,26.41,86.08,182.08,86.08,-2.4,-0.66,-0.15,-1.75,-1.88
class-00000001,00000001_00025000_10707,-10.83,-0.73,5.73,572.38,389.91,11.14,89.11,74.78,3.72,7.59,15.44,-2.25,5.34,23.37,79.69,23.37,79.71,171.84,79.71,-3.86,1.18,1.46,-2.07,-2.9
class-00000001,00000001_00025000_10716,-9.28,-0.18,5.01,618.56,417.97,12.04,91.58,76.53,3.93,7.9,15.26,-1.99,6.54,25.2,82.11,25.2,82.13,175.53,82.13,-3.12,1.46,1.75,-1.88,-1.81
class-00000001,00000001_00025000_10727,-10.85,-0.77,12.43,630.27,431.06,11.7,90.85,75.94,4.47,8.32,16.44,-2.33,5.98,24.57,81.42,24.57,81.44,174.26,81.44,-3.86,1.89,2.16,-2.05,-2.68
class-00000001,00000001_00025000_10795,-10.21,0.58,9.08,550.94,393.11,13.21,95.76,79.44,3.82,8.28,15.28,-2.23,7.5,27.6,86.21,27.6,86.24,181.64,86.24,-3.11,1.36,1.65,-2.03,-1.69
class-00000001,00000001_00025000_10797,-5.88,0.41,832.47,950.06,626.33,-7.69,21.06,27.75,1.33,-1.41,11.36,-1.97,-10.12,-14.07,12.91,-14.07,12.93,76.34,12.93,-3.45,-0.86,-0.39,-1.88,-7.68
class-00000001,00000001_00025000_10798,-10.96,0.08,62.75,802.95,533.51,5.12,67.23,59.87,-0.06,2.49,8.72,-1.51,0.58,11.36,58.13,11.36,58.15,141.8,58.15,-1.16,-2.14,-1.6,-1.59,-3.97
class-00000001,00000001_00025000_10799,-10,-0.16,11.93,685.41,463.72,6.49,73.06,64.01,1.72,4.53,13.17,-1.56,1.57,14.13,63.76,14.13,63.78,150.41,63.78,-3.63,-0.33,0.04,-1.74,-3.42
class-00000001,00000001_00025000_107,-10.46,0.24,0.99,435.05,301.04,12.63,97.01,81.06,3.23,7.12,13.09,-1.72,6.42,26.22,86.98,26.22,87,185.49,87,-3.27,0.94,1.2,-1.63,-1.8
class-00000001,00000001_00025000_10800,-9.91,-0.18,14.01,692.6,468.76,7.13,74.31,64.66,2.17,5.09,13.52,-1.62,2.25,15.44,65.12,15.44,65.14,151.55,65.14,-3.8,0.12,0.46,-1.74,-3.35
class-00000001,00000001_00025000_10801,-10.06,-0.21,9.58,651.68,443.34,7.67,75.83,65.74,0.79,4.61,11.87,-1.3,2.83,16.45,66.62,16.45,66.64,153.71,66.64,-2.83,-1.07,-0.64,-1.6,-3.25
class-00000001,00000001_00025000_10802,-9.93,-0.18,13.21,679.9,461.52,7.34,74.83,65.02,1.89,5.01,13.02,-1.54,2.48,15.84,65.65,15.84,65.67,152.23,65.67,-3.57,-0.1,0.26,-1.7,-3.32
class-00000001,00000001_00025000_10803,-10.62,0.36,28.83,682.76,467.07,5.63,69.58,61.54,0.49,3.28,10.96,-1.59,0.87,12.39,60.39,12.4,60.41,145.3,60.41,-2.46,-1.66,-1.14,-1.73,-3.78
class-00000001,00000001_00025000_10805,-10.24,-0.93,81.19,792.97,536.37,13.61,97.12,80.08,0.27,5.81,8.33,-1.31,7.54,28.36,87.69,28.36,87.71,182.42,87.71,-1.24,-1.42,-1.05,-1.63,-1.87
class-00000001,00000001_00025000_10834,-9.57,-0.25,0.7,451.61,310.24,18.4,116.78,94.42,0.68,8.29,11.38,-1.48,11.12,37.63,106.56,37.63,106.58,212.15,106.58,-1.21,-1.41,-1.09,-1.84,-0.47
class-00000001,00000001_00025000_10835,-10.03,2.41,0.4,331.87,221.57,7.73,80.31,69.71,3.02,5.54,15.22,-1.93,1.93,16.29,70.47,16.29,70.5,162.39,70.5,-4.46,0.46,0.7,-2,-3.18
class-00000001,00000001_00025000_10837,-11.3,-1.01,4.05,589.92,392.91,12.8,94.68,78.78,-0.3,5.35,7.44,-0.22,6.78,26.5,85.11,26.5,85.13,179.9,85.13,-2.59,-1.14,-0.85,-0.86,-2.15
class-00000001,00000001_00025000_10839,-10.14,0.89,1.59,478.11,325.71,11.05,88.73,74.64,1.04,5.74,11.91,-1.96,5.26,23.06,79.27,23.06,79.29,171.52,79.29,-2.13,-1.28,-0.88,-2.08,-2.71
class-00000001,00000001_00025000_10842,-9.44,0.61,1.8,516.25,348.88,10.83,86.65,73.11,2.3,6.45,13.11,-1.93,5.48,22.66,77.31,22.66,77.33,168.38,77.33,-2.81,0,0.35,-2,-2.58
class-00000001,00000001_00025000_10844,-9.31,-0.52,2.4,577.57,383.66,6.84,76.78,66.91,2.31,4.55,13.57,-1.77,1.19,14.67,67.17,14.68,67.19,156.39,67.19,-3.97,-0.14,0.25,-1.85,-3.31
class-00000001,00000001_00025000_10847,-10.15,0.32,2.79,490.16,337.66,11.12,88.77,74.63,2.02,6.42,13.07,-1.68,5.37,23.26,79.34,23.26,79.36,171.59,79.36,-3.14,-0.24,0.13,-1.79,-2.58
class-00000001,00000001_00025000_10850,-10.2,-1.21,3.61,543.23,370.01,17.76,112.48,90.98,2.39,7.89,7.37,-1.29,11,36.5,102.63,36.5,102.65,204.73,102.65,-2.35,0.46,0.6,-1.51,-0.85
class-00000001,00000001_00025000_10854,-9.59,0.01,3.5,584.69,392.69,12.94,95.66,79.51,2.88,7.46,13.78,-1.78,7.03,26.91,86.02,26.91,86.04,181.65,86.04,-2.85,0.53,0.89,-1.84,-1.66
class-00000001,00000001_00025000_10859,-9.27,0,2.56,519.93,358.15,19.19,114.58,92.11,4.75,11.44,16.33,-2.05,13.02,39.46,104.94,39.46,104.96,206.94,104.97,-2.29,2.23,2.47,-1.8,-0.21
class-00000001,00000001_00025000_10866,-9.51,-0.7,7.61,655.97,435.54,11.46,89.79,75.33,2.68,6.78,13.41,-1.74,5.9,23.99,80.33,23.99,80.35,173.04,80.35,-3.01,0.4,0.76,-1.81,-2.01
class-00000001,00000001_00025000_10931,-10.68,-0.21,1.53,491.71,336.36,12.48,96.51,80.61,0.69,6.02,11.6,-1.47,6.12,25.91,86.53,25.91,86.55,184.41,86.55,-2.18,-1.56,-1.05,-1.7,-2.08
class-00000001,00000001_00025000_10932,-9.56,-0.39,4.24,578.39,402.64,13.79,97.58,80.71,4.62,9.14,16.48,-2.06,8.13,28.72,88,28.72,88.02,184.17,88.02,-3.14,2.14,2.33,-1.83,-1.31
class-00000001,00000001_00025000_10936,-9.65,0.9,3.58,599.79,409.05,6.38,75.3,65.99,3.66,5.11,15.02,-1.97,0.97,13.86,65.66,13.86,65.69,154.84,65.69,-4.43,1.23,1.56,-1.83,-3.28
class-00000001,00000001_00025000_10937,-8.37,2.85,1.4,455.69,325.06,33.57,170.13,130.99,6.87,18.56,19.92,-2.23,24.37,68.24,159.09,68.24,159.11,286.73,159.11,-0.5,4.16,4.47,-1.48,1.46
class-00000001,00000001_00025000_10939,-11.16,0.42,9.36,596.18,420.14,14.21,99.5,82.15,5.32,9.73,17.31,-2.11,8.56,29.61,89.81,29.61,89.83,187.34,89.84,-3.02,2.82,3.09,-1.71,-1.12
class-00000001,00000001_00025000_10941,-9.77,0.71,2.17,536.39,366.44,6.57,76.69,67.14,2.43,4.27,12.83,-1.78,0.95,14.14,66.92,14.14,66.94,157.31,66.94,-3.72,0.08,0.44,-1.75,-3.3
class-00000001,00000001_00025000_10949,-9.65,0.9,4.83,618.27,422.51,6.4,75.19,65.87,3.88,5.26,15.25,-2.01,1.03,13.92,65.58,13.92,65.6,154.6,65.6,-4.42,1.45,1.77,-1.84,-3.25
class-00000001,00000001_00025000_10951,-11.49,0.34,5.25,563.65,388.84,13.39,98.8,81.99,1.37,6.77,12.01,-1.43,7.12,27.83,88.91,27.84,88.93,187.14,88.93,-2.62,-0.72,-0.26,-1.63,-1.81
class-00000001,00000001_00025000_10967,-11.14,0.01,30.5,758.79,505.79,10.35,83.64,70.86,-2.38,3.07,3.08,-0.35,5.3,21.63,74.49,21.64,74.51,163.52,74.51,2.2,-3.62,-2.73,-0.74,-3.08
class-00000001,00000001_00025000_10968,-10.39,0.35,0.9,448.22,300.56,11.4,93.78,78.92,3.44,7.1,15.48,-1.75,5,23.74,83.72,23.74,83.74,181.17,83.74,-4.19,0.99,1.28,-1.75,-1.91
class-00000001,00000001_00025000_10970,-9.97,2.34,0.86,417.13,285.58,7.78,78.82,68.28,4.74,6.69,16.91,-2.09,2.41,16.55,69.25,16.55,69.27,159.24,69.27,-4.4,2.17,2.41,-1.89,-3.12
class-00000001,00000001_00025000_10972,-10.52,1.51,1.38,471.62,317.08,13.1,98.78,82.14,2.26,7.32,13.82,-1.63,6.57,27.12,88.78,27.12,88.8,187.42,88.8,-3.47,-0.05,0.33,-1.7,-2.24
class-00000001,00000001_00025000_10976,-10.45,-1.19,3.68,626.13,415.86,9.56,80.64,68.53,0.03,4.39,9.05,-1.35,4.4,20.06,71.67,20.06,71.69,158.44,71.69,-0.66,-2.05,-1.44,-1.62,-2.99
class-00000001,00000001_00025000_10982,-9.57,-0.13,1.61,509.58,343.79,9.25,81.69,69.77,3.57,6.66,15.03,-2.05,4.04,19.51,72.38,19.51,72.4,161.71,72.4,-3.47,1.09,1.36,-2.01,-2.91
class-00000001,00000001_00025000_10984,-10.36,-1.13,2.89,545.2,368.35,12.53,93.58,77.85,1.22,6.29,11.33,-1.58,6.58,26.03,84.11,26.03,84.13,177.87,84.13,-1.91,-0.97,-0.48,-1.78,-2.13
class-00000001,00000001_00025000_10986,-8.81,-0.11,2.31,561,375.66,8.01,76.57,66.11,2.11,5.25,13,-1.91,3.12,17.03,67.43,17.03,67.45,154.08,67.45,-2.84,-0.21,0.17,-2.01,-3.18
class-00000001,00000001_00025000_10987,-11.19,-0.96,1.31,501.59,335.13,18.75,118.43,95.6,3.39,10.06,14.69,-1.55,11.53,38.48,108.14,38.48,108.16,214.79,108.16,-2.91,1.16,1.36,-1.57,-0.21
class-00000001,00000001_00025000_10988,-10.43,-1.06,2,511.84,345.87,14.16,99.83,82.3,2.47,7.7,13.07,-1.72,7.94,29.28,90.16,29.28,90.18,187.14,90.18,-2.59,0.13,0.51,-1.81,-1.56
class-00000001,00000001_00025000_10989,-9.71,-0.08,1.49,483.99,328.87,11.62,89.26,74.8,4.23,8.18,15.79,-2.09,6.22,24.25,79.93,24.26,79.95,171.72,79.95,-3.27,1.69,1.94,-1.93,-2.62
class-00000001,00000001_00025000_10997,-9.42,-0.45,2.65,540.95,365.88,13.49,97.49,80.65,3.01,8,14.29,-2.08,7.39,28,87.87,28,87.89,183.82,87.89,-3.09,0.59,0.91,-2.05,-2.26
class-00000001,00000001_00025000_11000,-10.16,-1.93,5.4,602.56,404.55,16.08,106.39,86.6,0.16,6.64,8.13,-0.78,9.4,33.12,96.72,33.12,96.74,195.56,96.74,-1.18,-1.58,-1.02,-1.27,-1.19
class-00000001,00000001_00025000_11006,-9.21,-0.88,3,540.11,365.04,12.42,89.91,74.86,3.53,7.99,14.17,-2.03,7.34,25.89,80.82,25.89,80.84,171.41,80.84,-2.48,1.1,1.36,-1.97,-2.16
class-00000001,00000001_00025000_11010,-9.16,0,2.12,504.02,347.08,23.81,130.66,103.02,4.87,13.34,16.22,-2.04,16.73,48.66,120.85,48.66,120.87,228.87,120.87,-1.89,2.35,2.55,-1.77,0.42
class-00000001,00000001_00025000_11015,-9.11,-1.04,6.65,626.36,423.24,15.1,99.02,81.01,2.86,8.17,11.45,-1.72,9.61,31.26,89.85,31.26,89.87,183.77,89.87,-2.06,0.75,0.85,-1.78,-1.21
class-00000001,00000001_00025000_11025,-9.24,-0.84,7.09,632.54,426.22,13.05,95.26,79.09,2.39,7.21,12.79,-1.66,7.25,27.18,85.72,27.18,85.74,180.71,85.74,-2.71,0.16,0.56,-1.78,-1.72
class-00000001,00000001_00025000_11031,-9.54,-0.31,5.95,616.53,420.79,16.35,104.55,85.09,4.71,10.35,16.49,-2.08,10.55,33.84,95.12,33.84,95.15,192.59,95.15,-2.8,2.24,2.42,-1.81,-0.83
class-00000001,00000001_00025000_11032,-9.86,-0.89,11.01,706.86,465.34,12.21,90.06,74.97,3.21,7.67,13.81,-2.09,6.91,25.53,80.93,25.54,80.95,171.69,80.95,-2.67,0.81,1.12,-2.05,-2.45
class-00000001,00000001_00025000_11041,-8.51,0.02,9.4,626.79,424.91,15.93,99.78,81.26,4.17,10.01,15.25,-2.11,10.85,33,90.8,33,90.82,184.14,90.82,-2.17,1.7,1.97,-1.96,-1.32
class-00000001,00000001_00025000_11109,-10.85,0.39,1.97,439.93,313.28,20.06,121.76,97.77,3.15,10.58,14.15,-1.83,12.91,41.12,111.53,41.12,111.55,219.17,111.55,-2.67,0.85,1.2,-1.75,-0.62
class-00000001,00000001_00025000_11110,-10.11,-0.54,7.69,651.98,443.4,8.52,79.67,68.48,1.87,5.26,12.77,-1.67,3.4,18.14,70.31,18.14,70.33,159.35,70.34,-3.08,-0.3,0.04,-1.81,-2.89
class-00000001,00000001_00025000_11115,-9.23,0.85,2.3,563.27,384.61,5.58,73.09,64.5,4.16,5.16,16.3,-2.01,0.08,12.27,63.44,12.27,63.47,151.86,63.47,-5.19,1.62,1.96,-1.9,-3.44
class-00000001,00000001_00025000_11139,-10.67,0.3,0.54,386.1,257.96,13.55,101.56,84.43,2.16,7.27,13.99,-1.55,6.8,27.93,91.3,27.93,91.32,192.42,91.32,-3.27,-0.26,0.05,-1.73,-1.49
class-00000001,00000001_00025000_11142,-10.65,1.95,0.79,431.2,291.99,11.78,95.67,80.36,3.87,7.53,16.19,-1.86,5.29,24.53,85.5,24.53,85.52,184.29,85.52,-4.29,1.36,1.65,-1.8,-1.9
class-00000001,00000001_00025000_11147,-9.5,-0.6,2.91,605.83,404.99,12.6,94.22,78.57,0.81,5.81,9.86,-1.39,6.79,26.16,84.59,26.16,84.61,179.71,84.62,-1.49,-1.18,-0.63,-1.65,-2
class-00000001,00000001_00025000_11148,-10,-0.86,1.46,475.4,322.75,13.54,98.5,81.67,2.59,7.29,12.27,-1.48,7.4,28.03,88.69,28.03,88.71,186.18,88.71,-2.71,0.37,0.64,-1.62,-1.5
class-00000001,00000001_00025000_11149,-10.41,-0.27,4.55,652.95,433.04,13.25,98.24,81.55,-0.85,5.46,9.44,-1.48,6.9,27.45,88.38,27.46,88.4,186.01,88.4,-0.48,-2.97,-2.33,-1.78,-2.12
class-00000001,00000001_00025000_11150,-8.94,0.05,5.15,573.46,388.7,9.28,81.61,69.61,0.65,4.94,11.01,-1.62,3.96,19.56,72.35,19.56,72.37,161.21,72.37,-2.3,-1.28,-0.89,-1.78,-2.92
class-00000001,00000001_00025000_11156,-9.69,-0.81,1.8,522.67,352.43,12.88,96.32,80.18,2.7,7.31,13.59,-1.61,6.81,26.73,86.54,26.73,86.56,183.22,86.56,-2.98,0.41,0.72,-1.72,-1.62
class-00000001,00000001_00025000_11158,-8.8,-0.23,6.24,654.53,435.28,1.94,57.59,53.31,0.79,1.88,11.32,-1.65,-2.63,4.89,48.54,4.9,48.56,128.3,48.56,-2.82,-1.33,-0.96,-1.77,-4.55
class-00000001,00000001_00025000_11160,-10.97,-1.04,4.91,661.39,436.47,18.62,118.25,95.41,0.49,8.03,9.85,-0.86,11.21,38.22,107.98,38.22,108,214.28,108,-1.57,-1.15,-0.5,-1.32,-0.82
class-00000001,00000001_00025000_11163,-8.74,2.88,1.69,486.31,330.11,7.52,76.05,65.89,5.87,7.87,18.52,-2.13,2.57,16.1,66.8,16.1,66.82,153.86,66.82,-4.21,3.28,3.56,-1.66,-4.22
class-00000001,00000001_00025000_11165,-9.8,0.37,1.76,518.83,349.72,12.43,96.16,80.28,4.72,8.4,17.14,-1.94,6.21,25.91,86.23,25.92,86.25,183.78,86.25,-4,2.2,2.49,-1.74,-1.56
class-00000001,00000001_00025000_11160,-10.97,-1.04,4.91,661.39,436.47,18.62,118.25,95.41,0.49,8.03,9.85,-0.86,11.21,38.22,107.98,38.22,108,214.28,108,-1.57,-1.15,-0.5,-1.32,-0.82
class-00000001,00000001_00025000_11163,-8.74,2.88,1.69,486.31,330.11,7.52,76.05,65.89,5.87,7.87,18.52,-2.13,2.57,16.1,66.8,16.1,66.82,153.86,66.82,-4.21,3.28,3.56,-1.66,-4.22
class-00000001,00000001_00025000_11165,-9.8,0.37,1.76,518.83,349.72,12.43,96.16,80.28,4.72,8.4,17.14,-1.94,6.21,25.91,86.23,25.92,86.25,183.78,86.25,-4,2.2,2.49,-1.74,-1.56
class-00000001,00000001_00025000_1116,-9.83,-0.87,6.5,643.01,426.5,12.34,89.75,74.61,2.8,7.41,12.94,-1.96,7.07,25.73,80.73,25.73,80.75,170.68,80.75,-2.21,0.45,0.81,-1.98,-2.37
class-00000001,00000001_00025000_11174,-9.36,-0.75,4.19,613.46,409.17,11.63,87.78,73.45,3.53,7.73,14.47,-2.04,6.5,24.33,78.68,24.33,78.7,168.63,78.7,-2.78,1.1,1.39,-1.99,-2.6
class-00000001,00000001_00025000_11177,-9.12,0.85,4.71,619.51,412.11,13.03,95.46,79.22,3.68,7.8,13.81,-2.2,7.19,27.14,85.91,27.14,85.93,180.95,85.93,-3.16,1.3,1.51,-1.99,-2.35
class-00000001,00000001_00025000_11109,-10.85,0.39,1.97,439.93,313.28,20.06,121.76,97.77,3.15,10.58,14.15,-1.83,12.91,41.12,111.53,41.12,111.55,219.17,111.55,-2.67,0.85,1.2,-1.75,-0.62
class-00000001,00000001_00025000_11110,-10.11,-0.54,7.69,651.98,443.4,8.52,79.67,68.48,1.87,5.26,12.77,-1.67,3.4,18.14,70.31,18.14,70.33,159.35,70.34,-3.08,-0.3,0.04,-1.81,-2.89
class-00000001,00000001_00025000_11115,-9.23,0.85,2.3,563.27,384.61,5.58,73.09,64.5,4.16,5.16,16.3,-2.01,0.08,12.27,63.44,12.27,63.47,151.86,63.47,-5.19,1.62,1.96,-1.9,-3.44
class-00000001,00000001_00025000_11139,-10.67,0.3,0.54,386.1,257.96,13.55,101.56,84.43,2.16,7.27,13.99,-1.55,6.8,27.93,91.3,27.93,91.32,192.42,91.32,-3.27,-0.26,0.05,-1.73,-1.49
class-00000001,00000001_00025000_11142,-10.65,1.95,0.79,431.2,291.99,11.78,95.67,80.36,3.87,7.53,16.19,-1.86,5.29,24.53,85.5,24.53,85.52,184.29,85.52,-4.29,1.36,1.65,-1.8,-1.9
class-00000001,00000001_00025000_11147,-9.5,-0.6,2.91,605.83,404.99,12.6,94.22,78.57,0.81,5.81,9.86,-1.39,6.79,26.16,84.59,26.16,84.61,179.71,84.62,-1.49,-1.18,-0.63,-1.65,-2
class-00000001,00000001_00025000_11148,-10,-0.86,1.46,475.4,322.75,13.54,98.5,81.67,2.59,7.29,12.27,-1.48,7.4,28.03,88.69,28.03,88.71,186.18,88.71,-2.71,0.37,0.64,-1.62,-1.5
class-00000001,00000001_00025000_11149,-10.41,-0.27,4.55,652.95,433.04,13.25,98.24,81.55,-0.85,5.46,9.44,-1.48,6.9,27.45,88.38,27.46,88.4,186.01,88.4,-0.48,-2.97,-2.33,-1.78,-2.12
class-00000001,00000001_00025000_11150,-8.94,0.05,5.15,573.46,388.7,9.28,81.61,69.61,0.65,4.94,11.01,-1.62,3.96,19.56,72.35,19.56,72.37,161.21,72.37,-2.3,-1.28,-0.89,-1.78,-2.92
class-00000001,00000001_00025000_11156,-9.69,-0.81,1.8,522.67,352.43,12.88,96.32,80.18,2.7,7.31,13.59,-1.61,6.81,26.73,86.54,26.73,86.56,183.22,86.56,-2.98,0.41,0.72,-1.72,-1.62
class-00000001,00000001_00025000_11158,-8.8,-0.23,6.24,654.53,435.28,1.94,57.59,53.31,0.79,1.88,11.32,-1.65,-2.63,4.89,48.54,4.9,48.56,128.3,48.56,-2.82,-1.33,-0.96,-1.77,-4.55
class-00000001,00000001_00025000_11160,-10.97,-1.04,4.91,661.39,436.47,18.62,118.25,95.41,0.49,8.03,9.85,-0.86,11.21,38.22,107.98,38.22,108,214.28,108,-1.57,-1.15,-0.5,-1.32,-0.82
class-00000001,00000001_00025000_11163,-8.74,2.88,1.69,486.31,330.11,7.52,76.05,65.89,5.87,7.87,18.52,-2.13,2.57,16.1,66.8,16.1,66.82,153.86,66.82,-4.21,3.28,3.56,-1.66,-4.22
class-00000001,00000001_00025000_11165,-9.8,0.37,1.76,518.83,349.72,12.43,96.16,80.28,4.72,8.4,17.14,-1.94,6.21,25.91,86.23,25.92,86.25,183.78,86.25,-4,2.2,2.49,-1.74,-1.56
class-00000001,00000001_00025000_1116,-9.83,-0.87,6.5,643.01,426.5,12.34,89.75,74.61,2.8,7.41,12.94,-1.96,7.07,25.73,80.73,25.73,80.75,170.68,80.75,-2.21,0.45,0.81,-1.98,-2.37
class-00000001,00000001_00025000_11174,-9.36,-0.75,4.19,613.46,409.17,11.63,87.78,73.45,3.53,7.73,14.47,-2.04,6.5,24.33,78.68,24.33,78.7,168.63,78.7,-2.78,1.1,1.39,-1.99,-2.6
class-00000001,00000001_00025000_11177,-9.12,0.85,4.71,619.51,412.11,13.03,95.46,79.22,3.68,7.8,13.81,-2.2,7.19,27.14,85.91,27.14,85.93,180.95,85.93,-3.16,1.3,1.51,-1.99,-2.35
class-00000001,00000001_00025000_11180,-8.49,0.17,2.98,511.77,351.6,23.51,129.7,102.11,3.56,12.04,13.93,-2.08,16.07,48.09,120.05,48.09,120.07,226.79,120.07,-2.13,1.21,1.34,-1.92,-0.07
class-00000001,00000001_00025000_11218,-8.87,0.23,9.8,617.18,421.52,8.47,77.25,66.38,5.24,7.85,17.27,-2.23,3.98,18.12,68.21,18.12,68.23,154.68,68.23,-3.33,2.66,2.93,-1.88,-3.47
class-00000001,00000001_00025000_11222,-9.37,0.61,20.41,803.4,520.3,3.07,64.54,58.46,3.22,3.45,14.93,-2.04,-2.26,7.33,55.1,7.33,55.12,139.43,55.12,-5.34,0.8,1.2,-1.99,-4.31
class-00000001,00000001_00025000_11223,-8.82,0.88,22.26,813.22,526.97,3.21,62.49,56.62,3.54,3.92,14.79,-2.06,-1.64,7.62,53.38,7.63,53.4,135.24,53.4,-4.83,1.13,1.49,-1.9,-5.14
class-00000001,00000001_00025000_11224,-9,0.37,13.64,690.16,462.03,11.03,89.8,75.55,4.36,7.59,15.6,-2.02,5.34,23.23,80.18,23.23,80.2,173.9,80.2,-3.74,1.95,2.23,-1.78,-2.53
class-00000001,00000001_00025000_11238,-8.7,0.86,17.79,791.96,515.9,5.16,70.83,62.69,4.04,4.89,15.67,-2.09,-0.1,11.52,61.36,11.52,61.38,147.99,61.39,-4.76,1.58,1.93,-1.88,-3.73
class-00000001,00000001_00025000_11239,-8.51,0.24,10.13,625.61,426.6,29.05,150.5,116.71,5.88,16.08,18.01,-2.25,20.95,59.26,140.29,59.26,140.31,256.85,140.31,-1.13,3.25,3.51,-1.7,1.12
class-00000001,00000001_00025000_11318,-10.21,-0.81,2.69,586.96,397.89,12.79,97.56,81.32,-4.35,4.58,6.03,0.49,6.23,26.42,87.58,26.42,87.6,185.66,87.6,-1.61,-2.98,-2.84,-0.41,-2.11
class-00000001,00000001_00025000_11321,-9.71,-1.23,1.99,510.88,362.8,25.75,139.62,109.24,2.36,13.68,13.99,-1.33,17.86,52.5,129.54,52.5,129.56,241.34,129.56,-2.33,2.39,1.63,-1.36,0.9
class-00000001,00000001_00025000_11339,-9.06,-1,5.06,595.38,400.27,14.34,95.37,78.39,2.88,8.28,12.96,-1.86,9.07,29.74,86.36,29.74,86.38,178.36,86.38,-2.25,0.6,0.92,-1.91,-1.76
class-00000001,00000001_00025000_11341,-10.46,0.23,3.21,524.08,367.21,13.39,98.31,81.64,4.27,8.17,14.23,-1.95,7.46,27.88,88.44,27.88,88.46,186.52,88.46,-3.14,1.9,2.12,-1.68,-1.51
class-00000001,00000001_00025000_11368,-10.33,0.39,2.93,551.6,382.77,11.58,92.85,77.97,4.8,8.07,16.75,-2.05,5.67,24.29,82.99,24.29,83.01,179.17,83.01,-3.79,2.29,2.59,-1.78,-1.8
