class,ip,ea,vis,bp,fp,li,lio2,o2m,o2
class-00000001,-9.8,0.37,1.76,518.83,349.72,12.43,8.4,17.14,-1.94
class-00000001,-9.83,-0.87,6.5,643.01,426.5,12.34,7.41,12.94,-1.96
class-00000001,-9.36,-0.75,4.19,613.46,409.17,11.63,7.73,14.47,-2.04
class-00000001,-9.12,0.85,4.71,619.51,412.11,13.03,7.8,13.81,-2.2
class-00000001,-8.49,0.17,2.98,511.77,351.6,23.51,12.04,13.93,-2.08
class-00000001,-8.87,0.23,9.8,617.18,421.52,8.47,7.85,17.27,-2.23
class-00000001,-9.37,0.61,20.41,803.4,520.3,3.07,3.45,14.93,-2.04
class-00000001,-8.82,0.88,22.26,813.22,526.97,3.21,3.92,14.79,-2.06
class-00000001,-9,0.37,13.64,690.16,462.03,11.03,7.59,15.6,-2.02
class-00000001,-8.7,0.86,17.79,791.96,515.9,5.16,4.89,15.67,-2.09
class-00000001,-8.51,0.24,10.13,625.61,426.6,29.05,16.08,18.01,-2.25
class-00000001,-10.21,-0.81,2.69,586.96,397.89,12.79,4.58,6.03,0.49
class-00000001,-9.71,-1.23,1.99,510.88,362.8,25.75,13.68,13.99,-1.33
class-00000001,-9.06,-1,5.06,595.38,400.27,14.34,8.28,12.96,-1.86
class-00000001,-10.46,0.23,3.21,524.08,367.21,13.39,8.17,14.23,-1.95
class-00000001,-10.33,0.39,2.93,551.6,382.77,11.58,8.07,16.75,-2.05
class-00000001,-10.12,-0.63,2.22,472.83,324.93,14.12,7.4,10.92,-1.38
class-00000001,-9.54,-0.8,3.06,573.78,387.71,12.81,7.71,14.42,-1.85
class-00000001,-9.28,0.41,1.96,468.84,325.08,10.54,6.48,13.67,-1.71
class-00000001,-10.72,1.81,0.84,414.52,283.74,15.61,9.34,16.09,-1.85
class-00000001,-9.18,0.1,3.13,532.09,361.24,24.5,11.97,12.3,-1.85
class-00000001,-10.84,0.99,1.18,453.38,311.43,14.47,8.13,14.26,-1.68
class-00000001,-10.04,-0.36,32.7,734.53,494.75,11.64,4.89,8.38,-2.04
class-00000001,-10.2,0.31,0.89,448.48,303.01,13.58,8.36,16.2,-1.82
class-00000001,-11.39,0.4,8.47,825.1,525.28,8.81,4.01,9.52,-0.94
class-00000001,-10.73,0.57,3.05,596.51,396.41,17.57,8.85,12.55,-1.17
class-00000001,-9.96,-1.11,2.71,546.47,372.68,15.59,6.86,6.95,-1.72
class-00000001,-9.21,-1.91,50.28,1142.59,699.04,12.92,5.02,7.46,-1.29
class-00000001,-10.01,-0.26,3.17,577.36,386.3,14.97,7.68,12.93,-1.83
class-00000001,-8.98,-0.17,10.57,668.43,446.67,15.59,9.73,14.72,-1.97
class-00000001,-10.59,-1.2,8.64,618.62,418.89,13.84,7.67,13.23,-1.58
class-00000001,-9.38,-0.09,1.56,497.66,336.9,11.59,7.84,15.32,-2.06
class-00000001,-9.19,-0.74,3.45,570.71,384.69,17.95,10.72,15.09,-2.09
class-00000001,-10.01,0.75,0.56,434.29,292.13,12.19,5.78,11.6,-1.88
class-00000001,-9.54,-0.83,2.07,520.83,355.7,12.36,6.91,12.57,-1.59
class-00000001,-9.66,-0.3,2.83,531.2,360.83,12.04,5.65,9.74,-1.05
class-00000001,-8.42,-0.52,5.75,606.89,408.82,25.75,13.03,14.29,-2.03
class-00000001,-9.57,-1.61,1.82,539.02,361.61,19.97,10.19,12.87,-1.69
class-00000001,-10.41,0.28,0.62,404.65,271.56,13.77,7.91,15.09,-1.67
class-00000001,-10.41,-1.78,8.21,638.94,428.12,16.61,7.97,11.09,-1.2
class-00000001,-10.42,0.45,4.7,576.02,401.92,11.98,8.32,16.37,-2.07
class-00000001,-10.78,-0.26,2.5,616.14,413.9,10.28,6.82,15.93,-1.91
class-00000001,-10.55,0.14,2.91,624.19,418.02,11.76,5.83,11.88,-1.6
class-00000001,-9.01,0.59,0.51,388.38,267.14,19.4,10.68,15.7,-1.91
class-00000001,-9.11,0.35,1.21,489.65,332.89,17.5,10.04,16.06,-1.96
class-00000001,-10.56,-0.53,2.21,512.5,345.43,10.19,5.89,12.24,-1.94
class-00000001,-10.67,-0.18,2.17,512.71,352.57,12.36,6.75,13.13,-1.67
class-00000001,-10.46,-1.2,3.48,532.96,363.42,12.95,7.46,13.37,-1.8
class-00000001,-10.36,-1.52,6.82,594,403.58,14.41,7.29,11.25,-1.44
class-00000001,-10.78,0.06,4.24,540.74,374.56,13.02,5.83,10.2,-1.34
class-00000001,-10.27,1.4,3.24,527.71,363.6,16.62,10.07,16.01,-1.93
class-00000001,-10.28,-1.44,4.19,606.28,407.39,17.22,9.49,14.13,-1.64
class-00000001,-11.38,0.12,3.53,503.61,350.66,13.98,7.34,12.66,-1.49
class-00000001,-8.39,1.62,2.15,512.65,354.64,11.21,7.78,15.66,-2.01
class-00000001,-9.11,0.15,3.21,544.06,367.36,7.06,6.26,15.62,-2.05
class-00000001,-9.2,-1.15,4.32,639.32,421.03,10.01,5.92,12.9,-1.71
